district_id,event_index,event_volume,mean_intensity,max_intensity,duration,peak_anomaly,rise_gradient,decay_gradient,rcvr,rainfall_type,rainfall_type_name
1009007,84,23.473100000000002,11.736550000000001,16.4491,2,87.4334,6.0479,7.242550000000001,2.0,2,Type 2
1009007,85,7.3533,7.3533,7.3533,1,76.1442,0.0,0.0,1.0,0,Type 0
1009007,86,9.3892,9.3892,9.3892,1,129.4952,0.0,0.0,1.0,0,Type 0
1009007,87,216.31719999999999,21.631719999999998,35.4311,10,157.3151,4.75449,16.84072,10.0,5,Type 5
1009007,88,6.7485,6.7485,6.7485,1,142.4285,0.0,0.0,1.0,0,Type 0
1009007,89,6.5808,6.5808,6.5808,1,65.7153,0.0,0.0,1.0,0,Type 0
1009007,90,70.5928,14.118559999999999,31.5569,5,191.744,7.855079999999999,10.3485,5.0,3,Type 3
1009007,91,247.4793,20.623275,55.4132,12,261.3528,2.114775,9.515966666666666,12.0,5,Type 5
1009007,92,43.796400000000006,21.898200000000003,30.9581,2,229.0877,4.7545,5.5868,2.0,2,Type 2
1009007,93,34.407199999999996,11.469066666666665,18.9102,3,135.0568,2.8343333333333347,7.199600000000004,3.0,3,Type 3
1009007,94,41.1558,8.23116,17.1198,5,139.4155,3.9461,-1.8203400000000003,5.0,3,Type 3
1009007,95,116.5329,16.647557142857142,29.6407,7,146.5624,4.002571428571429,9.76475714285714,7.0,5,Type 5
1009007,96,6.6647,6.6647,6.6647,1,177.0534,0.0,0.0,1.0,0,Type 0
1009007,97,9.0299,9.0299,9.0299,1,155.4985,0.0,0.0,1.0,0,Type 0
1009007,98,13.8743,6.93715,8.1677,2,114.2951,-1.6616999999999997,1.87725,2.0,2,Type 2
1009007,99,47.844300000000004,15.948100000000002,36.4491,3,235.2022,0.6407000000000002,2.5568666666666644,3.0,4,Type 4
1009007,100,60.491,20.163666666666668,27.3413,3,161.8438,7.6427000000000005,7.309366666666667,3.0,4,Type 4
1009007,101,5.7066,5.7066,5.7066,1,119.314,0.0,0.0,1.0,0,Type 0
1009007,102,227.27550000000002,22.72755,45.1617,10,140.2744,3.23533,16.181440000000002,10.0,5,Type 5
1009007,103,61.988,10.331333333333333,19.4371,6,212.1139,1.9032000000000002,8.165666666666667,6.0,3,Type 3
1009007,104,5.503,5.503,5.503,1,42.8136,0.0,0.0,1.0,0,Type 0
1009007,105,23.0059,11.50295,12.6287,2,108.6614,3.562899999999999,-0.8053499999999971,2.0,2,Type 2
1009007,106,239.06599999999995,21.733272727272723,43.4072,11,250.6796,4.717472727272727,15.824163636363636,11.0,5,Type 5
1009007,107,11.9701,11.9701,11.9701,1,188.0849,0.0,0.0,1.0,0,Type 0
1009007,108,66.68860000000001,16.672150000000002,35.6826,4,208.8683,9.1961,13.094299999999999,4.0,3,Type 3
1009007,109,50.640699999999995,16.880233333333333,26.4731,3,150.1729,8.534933333333333,7.063866666666669,3.0,3,Type 3
